'2022-10-04 12:02:00'	4814.73	-0.017	0.0
'2022-10-04 12:09:00'	4814.67	-0.053	7.5
'2022-10-04 12:17:00'	4814.6	0.057	15.0
'2022-10-04 12:23:00'	4814.61	0.063	22.5
'2022-10-04 12:29:00'	4814.65	0.115	30.0
'2022-10-04 12:34:00'	4814.71	0.131	37.5
'2022-10-04 12:39:00'	4814.79	0.009	45.0
