'2022-10-04 10:08:00'	4815.58	0
'2022-10-04 10:20:00'	4813.81	6.988
'2022-10-04 10:28:00'	4812.29	12.57
'2022-10-04 10:35:00'	4810.23	19.598
'2022-10-04 10:43:00'	4808.27	26.621
