Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\gelbes_Salz.txt
Date / time: 30.11.2022, 10:07:38
Sample: gelbes Blutlaugensalz
Comments: 20mV Antriebsspannung, gelbes Blutlaugensalz
Channel #	Counts	Counts (folded)
    279	 194437	 389425
    280	 195268	 391237
    281	 195031	 390662
    282	 195351	 392359
    283	 196676	 393530
    284	 196495	 393288
    285	 197832	 394938
    286	 197512	 396139
    287	 197518	 396029
    288	 197994	 395371
    289	 197871	 396019
    290	 198029	 397160
    291	 198773	 397688
    292	 198715	 397488
    293	 199401	 398579
    294	 199367	 399504
    295	 199976	 399495
    296	 199046	 398308
    297	 200041	 399156
    298	 198932	 399074
    299	 199404	 398278
    300	 199392	 398514
    301	 199733	 399284
    302	 200205	 400763
    303	 200279	 399859
    304	 199150	 398689
    305	 200006	 400401
    306	 200602	 401315
    307	 199363	 400322
    308	 199982	 400490
    309	 199979	 399495
    310	 199886	 399853
    311	 200641	 400399
    312	 200186	 400952
    313	 200502	 400355
    314	 200496	 400689
    315	 200301	 400678
    316	 199481	 399855
    317	 201641	 401179
    318	 200722	 401193
    319	 200675	 400758
    320	 200793	 399975
    321	 201302	 400540
    322	 200571	 401909
    323	 200719	 400497
    324	 200522	 401435
    325	 200805	 401348
    326	 200284	 400875
    327	 200717	 401287
    328	 200270	 400805
    329	 200741	 401942
    330	 201011	 401976
    331	 200333	 400827
    332	 200780	 400995
    333	 200259	 401591
    334	 200909	 401484
    335	 200831	 401526
    336	 201067	 401674
    337	 200911	 402332
    338	 200935	 401428
    339	 200816	 400614
    340	 200844	 402192
    341	 201722	 402455
    342	 201288	 401999
    343	 200816	 401248
    344	 200286	 401180
    345	 202241	 403797
    346	 201398	 402266
    347	 201166	 401467
    348	 201138	 401474
    349	 201235	 401671
    350	 201213	 402100
    351	 201484	 402852
    352	 200791	 401613
    353	 200658	 401601
    354	 201560	 401130
    355	 200260	 400873
    356	 201200	 401945
    357	 200642	 402225
    358	 201402	 401983
    359	 200722	 401264
    360	 201372	 402146
    361	 201247	 403151
    362	 201106	 401934
    363	 201003	 402173
    364	 201184	 402067
    365	 200814	 401821
    366	 201058	 402220
    367	 200648	 400884
    368	 200977	 401491
    369	 201091	 402299
    370	 201345	 402044
    371	 201496	 402291
    372	 201441	 401324
    373	 201058	 400874
    374	 201662	 402258
    375	 200967	 402418
    376	 200980	 400795
    377	 200103	 400628
    378	 200897	 401452
    379	 200809	 401163
    380	 200612	 401405
    381	 201321	 401749
    382	 200957	 401114
    383	 200291	 400618
    384	 200908	 401290
    385	 201337	 401879
    386	 201335	 402422
    387	 200826	 401580
    388	 200229	 401931
    389	 200660	 401325
    390	 200782	 401847
    391	 201734	 402615
    392	 201172	 402025
    393	 201143	 401930
    394	 201340	 402343
    395	 201125	 401446
    396	 200757	 402438
    397	 200951	 401259
    398	 201250	 402259
    399	 201512	 402880
    400	 200533	 401044
    401	 200104	 400760
    402	 200599	 401516
    403	 200975	 401950
    404	 200505	 401897
    405	 201314	 402189
    406	 200508	 401987
    407	 201217	 401676
    408	 201722	 403047
    409	 201075	 401632
    410	 201018	 402140
    411	 200793	 401629
    412	 201048	 402273
    413	 201493	 402722
    414	 200936	 401794
    415	 200467	 399910
    416	 200728	 402172
    417	 201180	 402597
    418	 201684	 402991
    419	 201260	 401934
    420	 201091	 400993
    421	 202043	 402475
    422	 200848	 401456
    423	 201157	 401899
    424	 200713	 401127
    425	 200592	 401520
    426	 200714	 401078
    427	 201302	 401939
    428	 201265	 401943
    429	 200699	 402081
    430	 201836	 402838
    431	 200609	 400946
    432	 200609	 401575
    433	 201057	 401444
    434	 201701	 403744
    435	 201158	 401629
    436	 200522	 401477
    437	 200891	 401461
    438	 201132	 402031
    439	 201356	 402976
    440	 200843	 401250
    441	 200848	 400542
    442	 200960	 402207
    443	 200786	 401873
    444	 200102	 401288
    445	 201019	 400943
    446	 200339	 400376
    447	 200979	 401882
    448	 201396	 402455
    449	 201512	 401930
    450	 201487	 402349
    451	 201437	 402986
    452	 201854	 403033
    453	 200732	 400657
    454	 201444	 403085
    455	 201525	 403018
    456	 200918	 401770
    457	 199933	 401035
    458	 201413	 402554
    459	 201039	 401698
    460	 201358	 402207
    461	 200395	 401379
    462	 201446	 402371
    463	 200642	 401583
    464	 200860	 401539
    465	 201460	 402256
    466	 201306	 401844
    467	 201508	 401426
    468	 200868	 402197
    469	 200444	 401934
    470	 200562	 401258
    471	 200673	 402308
    472	 200630	 401671
    473	 200343	 401645
    474	 200809	 401743
    475	 201562	 401907
    476	 200005	 400960
    477	 201276	 401646
    478	 201279	 402338
    479	 201985	 403053
    480	 200808	 401952
    481	 201363	 402249
    482	 200949	 400806
    483	 200392	 400409
    484	 202169	 403416
    485	 200529	 401804
    486	 200818	 401893
    487	 200999	 402258
    488	 201126	 401771
    489	 200815	 402243
    490	 201667	 402501
    491	 200303	 401135
    492	 201141	 401618
    493	 200990	 402510
    494	 200663	 401696
    495	 200803	 402449
    496	 201583	 402007
    497	 201162	 401150
    498	 200999	 401755
    499	 201982	 402945
    500	 201007	 401404
    501	 200867	 401755
    502	 201013	 401739
    503	 201693	 402635
    504	 200518	 401050
    505	 200620	 401557
    506	 200057	 401049
    507	 201775	 402911
    508	 201108	 402295
    509	 200966	 402323
    510	 201138	 401498
    511	 200786	 401600
    512	 200814	      0
    513	 200360	      0
    514	 201357	      0
    515	 201187	      0
    516	 201136	      0
    517	 200992	      0
    518	 200937	      0
    519	 200532	      0
    520	 200942	      0
    521	 200726	      0
    522	 200888	      0
    523	 200397	      0
    524	 200963	      0
    525	 200756	      0
    526	 199988	      0
    527	 200424	      0
    528	 201646	      0
    529	 201033	      0
    530	 201520	      0
    531	 200477	      0
    532	 200832	      0
    533	 200834	      0
    534	 201428	      0
    535	 200645	      0
    536	 201259	      0
    537	 201075	      0
    538	 201275	      0
    539	 201247	      0
    540	 200017	      0
    541	 199857	      0
    542	 200886	      0
    543	 201144	      0
    544	 201068	      0
    545	 201059	      0
    546	 200370	      0
    547	 200955	      0
    548	 200345	      0
    549	 200934	      0
    550	 201302	      0
    551	 201041	      0
    552	 201635	      0
    553	 200696	      0
    554	 201490	      0
    555	 201329	      0
    556	 199918	      0
    557	 200538	      0
    558	 200796	      0
    559	 200679	      0
    560	 200941	      0
    561	 200925	      0
    562	 200984	      0
    563	 200849	      0
    564	 200659	      0
    565	 201141	      0
    566	 201102	      0
    567	 200852	      0
    568	 201493	      0
    569	 201641	      0
    570	 199925	      0
    571	 201179	      0
    572	 201549	      0
    573	 200862	      0
    574	 200418	      0
    575	 201059	      0
    576	 200903	      0
    577	 200037	      0
    578	 199924	      0
    579	 201186	      0
    580	 201087	      0
    581	 201247	      0
    582	 199694	      0
    583	 200407	      0
    584	 201620	      0
    585	 200899	      0
    586	 200570	      0
    587	 200955	      0
    588	 200471	      0
    589	 202043	      0
    590	 200387	      0
    591	 200966	      0
    592	 200337	      0
    593	 201002	      0
    594	 201382	      0
    595	 200678	      0
    596	 200637	      0
    597	 200364	      0
    598	 200928	      0
    599	 200414	      0
    600	 200742	      0
    601	 200608	      0
    602	 200432	      0
    603	 199902	      0
    604	 200674	      0
    605	 201307	      0
    606	 201417	      0
    607	 201444	      0
    608	 199443	      0
    609	 200858	      0
    610	 201229	      0
    611	 201225	      0
    612	 200836	      0
    613	 201122	      0
    614	 200557	      0
    615	 201325	      0
    616	 200459	      0
    617	 201479	      0
    618	 200875	      0
    619	 201392	      0
    620	 200975	      0
    621	 200917	      0
    622	 200656	      0
    623	 200511	      0
    624	 201368	      0
    625	 201009	      0
    626	 200308	      0
    627	 201681	      0
    628	 200321	      0
    629	 201003	      0
    630	 200787	      0
    631	 200853	      0
    632	 200881	      0
    633	 201065	      0
    634	 200665	      0
    635	 201702	      0
    636	 200754	      0
    637	 201087	      0
    638	 200542	      0
    639	 200382	      0
    640	 200327	      0
    641	 200157	      0
    642	 200428	      0
    643	 200793	      0
    644	 200354	      0
    645	 200555	      0
    646	 200525	      0
    647	 199815	      0
    648	 201451	      0
    649	 200596	      0
    650	 199816	      0
    651	 199883	      0
    652	 200795	      0
    653	 200699	      0
    654	 201208	      0
    655	 200514	      0
    656	 200236	      0
    657	 201162	      0
    658	 201007	      0
    659	 200883	      0
    660	 201170	      0
    661	 200828	      0
    662	 201904	      0
    663	 200774	      0
    664	 200542	      0
    665	 200581	      0
    666	 201583	      0
    667	 200745	      0
    668	 200613	      0
    669	 199570	      0
    670	 200943	      0
    671	 200822	      0
    672	 201368	      0
    673	 200887	      0
    674	 200436	      0
    675	 200336	      0
    676	 200301	      0
    677	 200868	      0
    678	 201556	      0
    679	 200894	      0
    680	 200432	      0
    681	 200711	      0
    682	 200733	      0
    683	 201348	      0
    684	 199798	      0
    685	 200493	      0
    686	 201421	      0
    687	 200607	      0
    688	 200695	      0
    689	 200575	      0
    690	 201332	      0
    691	 200215	      0
    692	 200494	      0
    693	 200965	      0
    694	 201201	      0
    695	 200535	      0
    696	 200570	      0
    697	 200591	      0
    698	 200543	      0
    699	 200913	      0
    700	 199778	      0
    701	 201338	      0
    702	 199238	      0
    703	 199182	      0
    704	 200083	      0
    705	 200471	      0
    706	 199538	      0
    707	 200374	      0
    708	 200377	      0
    709	 200193	      0
    710	 199853	      0
    711	 200766	      0
    712	 199758	      0
    713	 199967	      0
    714	 199516	      0
    715	 200508	      0
    716	 200959	      0
    717	 200713	      0
    718	 200395	      0
    719	 199539	      0
    720	 199580	      0
    721	 200558	      0
    722	 199551	      0
    723	 199122	      0
    724	 198874	      0
    725	 200142	      0
    726	 199115	      0
    727	 199262	      0
    728	 199519	      0
    729	 200137	      0
    730	 199178	      0
    731	 198773	      0
    732	 198915	      0
    733	 199131	      0
    734	 198148	      0
    735	 197377	      0
