Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Fe2O3
Date / time: 28.11.2022, 14:13:43
Sample: Eisen(III)-Oxid
Comments: 83mV Antriebsspannung, Eisen(III)-Oxid-Pulver, 0.051g
Channel #	Counts	Counts (folded)
    278	 489137	 975918
    279	 489447	 977019
    280	 489949	 977787
    281	 490193	 977982
    282	 489589	 976976
    283	 491373	 980390
    284	 490557	 980365
    285	 489284	 978368
    286	 490114	 977829
    287	 490006	 980180
    288	 489646	 978660
    289	 489547	 976816
    290	 490351	 979974
    291	 489806	 978985
    292	 490357	 978419
    293	 489080	 977585
    294	 489321	 976324
    295	 489562	 977425
    296	 489658	 977798
    297	 488554	 975825
    298	 490065	 977909
    299	 489034	 976599
    300	 488012	 973880
    301	 488261	 973733
    302	 487893	 972199
    303	 487574	 968491
    304	 487997	 966916
    305	 486744	 960129
    306	 485041	 948869
    307	 481290	 927411
    308	 476750	 899988
    309	 470546	 887053
    310	 455001	 889282
    311	 431509	 885518
    312	 417777	 887160
    313	 428467	 904647
    314	 451807	 932034
    315	 467904	 950395
    316	 475517	 961253
    317	 482402	 966917
    318	 484450	 970522
    319	 484821	 971736
    320	 487031	 972933
    321	 485317	 973200
    322	 487875	 975659
    323	 488220	 975707
    324	 488892	 977382
    325	 489228	 976707
    326	 490112	 977819
    327	 490718	 977688
    328	 491202	 980388
    329	 490270	 979269
    330	 489603	 977168
    331	 489919	 979648
    332	 488789	 977739
    333	 490362	 978666
    334	 489809	 977816
    335	 488721	 976841
    336	 490732	 980592
    337	 491034	 979076
    338	 490297	 978206
    339	 490007	 977996
    340	 489753	 978246
    341	 490414	 978045
    342	 489993	 978365
    343	 489524	 977538
    344	 489516	 977196
    345	 489149	 976236
    346	 487825	 974296
    347	 488240	 974969
    348	 488794	 974861
    349	 488275	 973849
    350	 488115	 972363
    351	 489039	 972038
    352	 485262	 967142
    353	 487283	 965772
    354	 486223	 961826
    355	 483260	 952711
    356	 481272	 941732
    357	 479036	 923836
    358	 473257	 898717
    359	 465791	 873610
    360	 453800	 860715
    361	 436248	 855054
    362	 415299	 850790
    363	 406318	 858574
    364	 413337	 877733
    365	 429790	 901643
    366	 447708	 924799
    367	 460704	 941938
    368	 470141	 951146
    369	 476542	 959527
    370	 480380	 964751
    371	 482674	 967210
