Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
    279	  17221	  36097
    280	  17367	  36527
    281	  18026	  37051
    282	  18234	  37492
    283	  18451	  37899
    284	  18612	  37987
    285	  18737	  38140
    286	  19052	  38708
    287	  18963	  38567
    288	  19399	  39243
    289	  19317	  38993
    290	  19666	  39458
    291	  19647	  39737
    292	  19573	  39350
    293	  19800	  39969
    294	  19895	  39633
    295	  19884	  39770
    296	  19769	  39780
    297	  20002	  39858
    298	  19885	  40128
    299	  19955	  40313
    300	  19895	  39954
    301	  19954	  39948
    302	  20068	  40267
    303	  20154	  40635
    304	  19868	  40156
    305	  20036	  40543
    306	  20132	  40378
    307	  20131	  40348
    308	  20448	  40688
    309	  20424	  40829
    310	  20187	  40354
    311	  20097	  40648
    312	  20210	  40472
    313	  20154	  40749
    314	  20357	  40622
    315	  20035	  40195
    316	  20391	  40837
    317	  20616	  40936
    318	  20306	  40678
    319	  20367	  40340
    320	  20575	  41182
    321	  20432	  40706
    322	  20101	  40595
    323	  20380	  40873
    324	  20480	  40820
    325	  20411	  40716
    326	  20533	  40935
    327	  20282	  40678
    328	  20580	  41030
    329	  20261	  40899
    330	  20553	  41033
    331	  20527	  41056
    332	  20350	  40584
    333	  20590	  40907
    334	  20473	  41024
    335	  20292	  40541
    336	  20387	  40795
    337	  20671	  40938
    338	  20459	  40641
    339	  20259	  40759
    340	  20270	  40835
    341	  20615	  41223
    342	  20224	  40745
    343	  20394	  40871
    344	  20418	  40857
    345	  20445	  40685
    346	  20344	  40932
    347	  20465	  40995
    348	  20302	  40894
    349	  20386	  40799
    350	  20290	  40749
    351	  20278	  40604
    352	  20250	  40652
    353	  20662	  40881
    354	  20541	  41004
    355	  20357	  40791
    356	  20556	  40966
    357	  20382	  40498
    358	  20622	  40996
    359	  20335	  40562
    360	  20537	  40886
    361	  20374	  40616
    362	  20567	  41204
    363	  20482	  41011
    364	  20602	  41275
    365	  20092	  40256
    366	  20357	  40684
    367	  20660	  41153
    368	  20475	  40887
    369	  20337	  40834
    370	  20224	  40470
    371	  20419	  41030
    372	  20290	  40665
    373	  20295	  40515
    374	  20117	  40571
    375	  20475	  40972
    376	  20495	  40887
    377	  20422	  40739
    378	  20266	  40386
    379	  20464	  40625
    380	  20201	  40773
    381	  20337	  40781
    382	  20461	  40644
    383	  20418	  40911
    384	  20011	  40376
    385	  20246	  40832
    386	  20158	  40539
    387	  20458	  40836
    388	  20406	  40934
    389	  20368	  40725
    390	  20421	  40879
    391	  20396	  40807
    392	  20468	  40903
    393	  20332	  40619
    394	  20266	  40785
    395	  20420	  41036
    396	  20281	  40784
    397	  20344	  41025
    398	  20138	  40447
    399	  20282	  40918
    400	  20481	  40767
    401	  20220	  40479
    402	  20418	  40849
    403	  20391	  40925
    404	  20593	  41049
    405	  20334	  40830
    406	  20522	  40781
