Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\rotes_salz.txt
Date / time: 30.11.2022, 13:46:27
Sample: rotes Blutlaugensalz
Comments: 10mV Antriebsspannung, rotes Blutlaugensalz
Channel #	Counts	Counts (folded)
    279	  16891	  33792
    280	  16928	  33794
    281	  16781	  33590
    282	  16592	  33313
    283	  17115	  33882
    284	  16941	  33636
    285	  16746	  33486
    286	  16666	  32971
    287	  16731	  33508
    288	  16685	  33224
    289	  16507	  33016
    290	  16459	  32877
    291	  16427	  32880
    292	  16303	  32535
    293	  16464	  32960
    294	  16539	  32955
    295	  16650	  33015
    296	  16485	  33147
    297	  16272	  32931
    298	  16592	  33540
    299	  16600	  33441
    300	  16940	  34021
    301	  16948	  33846
    302	  17088	  34535
    303	  17192	  34468
    304	  17179	  34541
    305	  17102	  34642
    306	  17498	  35132
    307	  17556	  35393
    308	  17612	  35419
    309	  17721	  35377
    310	  17779	  35627
    311	  17830	  35721
    312	  17930	  35679
    313	  18020	  35855
    314	  18035	  35901
    315	  17904	  36087
    316	  18104	  36263
    317	  17996	  36269
    318	  17959	  36189
    319	  18148	  36298
    320	  18211	  36450
    321	  18256	  36506
    322	  18073	  36326
    323	  18277	  36394
    324	  17864	  36153
    325	  18251	  36579
    326	  18233	  36721
    327	  18308	  36809
    328	  18176	  36692
    329	  18194	  36773
    330	  18168	  36728
    331	  18691	  37041
    332	  18105	  36782
    333	  18473	  36744
    334	  18276	  36554
    335	  18495	  37030
    336	  18312	  36802
    337	  17983	  36692
    338	  18702	  37010
    339	  18217	  36802
    340	  18484	  36926
    341	  18603	  37171
    342	  18561	  37020
    343	  18305	  36909
    344	  18497	  37012
    345	  18538	  37092
    346	  18486	  36830
    347	  18546	  37011
    348	  18618	  37179
    349	  18660	  37259
    350	  18539	  36952
    351	  18582	  37030
    352	  18358	  36962
    353	  18433	  37106
    354	  18698	  37488
    355	  18902	  37488
    356	  18687	  37277
    357	  18655	  37246
    358	  18401	  37020
    359	  18633	  37004
    360	  18539	  36924
    361	  18770	  37251
    362	  18540	  36872
    363	  18550	  37200
    364	  18718	  37330
    365	  18392	  36824
    366	  18471	  36986
    367	  18544	  37066
    368	  18644	  37253
    369	  18642	  37170
    370	  18831	  37505
    371	  18436	  36966
    372	  18518	  37272
    373	  18462	  36866
    374	  18579	  37267
    375	  18580	  37199
    376	  18650	  37164
    377	  18353	  37311
    378	  18583	  37278
    379	  18471	  37172
    380	  18809	  37363
    381	  18501	  37103
    382	  18749	  37400
    383	  18844	  37573
    384	  18817	  37380
    385	  18458	  37139
    386	  18577	  37114
    387	  18709	  37487
    388	  18731	  37575
    389	  18659	  37331
    390	  18696	  37321
    391	  18806	  37336
    392	  18458	  37020
    393	  18682	  37421
    394	  18468	  37114
    395	  18486	  36940
    396	  18691	  37281
    397	  18836	  37623
    398	  18683	  37378
    399	  18452	  37177
    400	  18707	  37233
    401	  18587	  37224
    402	  18612	  37412
    403	  18378	  36861
    404	  18605	  37272
    405	  18566	  37279
    406	  18624	  37244
    407	  18545	  37136
    408	  18486	  37013
    409	  18612	  37070
    410	  18635	  37417
    411	  18286	  36874
    412	  18687	  37294
    413	  18576	  37156
    414	  18757	  37283
    415	  18266	  36627
    416	  18805	  37351
    417	  18743	  37148
    418	  18655	  37029
    419	  18655	  37509
    420	  18615	  37503
    421	  18612	  37272
    422	  18409	  37084
    423	  18440	  36968
    424	  18663	  37436
    425	  18563	  37293
    426	  18684	  37280
    427	  18437	  36876
    428	  18746	  37310
    429	  18766	  37274
    430	  18636	  37339
    431	  18342	  37043
    432	  18737	  37249
    433	  18815	  37323
    434	  18725	  37480
    435	  18718	  37351
    436	  18731	  37217
    437	  18509	  37104
    438	  18773	  37184
    439	  18683	  37139
    440	  18672	  37376
    441	  18356	  36962
    442	  18736	  37389
    443	  18542	  37065
    444	  18684	  37347
    445	  18632	  37222
    446	  18708	  37331
    447	  18562	  37163
    448	  18751	  37396
    449	  18680	  37457
    450	  18797	  37306
    451	  18870	  37719
    452	  18794	  37274
    453	  18695	  37524
    454	  18594	  37172
    455	  18666	  37429
    456	  18701	  37422
    457	  18319	  37126
    458	  18751	  37488
    459	  18630	  37160
    460	  18606	  37420
    461	  18577	  37604
    462	  18646	  37399
    463	  18866	  37429
    464	  18619	  37334
    465	  18468	  37431
    466	  18429	  36907
    467	  18605	  37258
    468	  18552	  37042
    469	  18646	  37280
    470	  18720	  37262
    471	  18536	  37285
    472	  18468	  37189
    473	  18512	  37143
    474	  18537	  37324
    475	  18456	  36996
    476	  18877	  37386
    477	  18569	  37192
    478	  18401	  37303
    479	  18762	  37341
    480	  18720	  37324
    481	  18572	  37259
    482	  18566	  37229
    483	  18450	  37188
    484	  18534	  36994
    485	  18772	  37636
    486	  18492	  37317
    487	  18367	  36988
    488	  18674	  37459
    489	  18524	  37200
    490	  18643	  37157
    491	  18674	  37258
    492	  18816	  37527
    493	  18677	  37267
    494	  18481	  37061
    495	  18627	  36994
    496	  18744	  37382
    497	  18600	  36959
    498	  18721	  37046
    499	  18638	  37265
    500	  18474	  37153
    501	  18640	  37414
    502	  18577	  37042
    503	  18901	  37364
    504	  18723	  37457
    505	  18729	  37273
    506	  18617	  37272
    507	  18641	  37486
    508	  18494	  37240
    509	  18909	  37334
    510	  18819	  37162
    511	  18701	  37226
    512	  18525	      0
    513	  18343	      0
    514	  18425	      0
    515	  18746	      0
    516	  18845	      0
    517	  18655	      0
    518	  18544	      0
    519	  18734	      0
    520	  18463	      0
    521	  18465	      0
    522	  18774	      0
    523	  18679	      0
    524	  18627	      0
    525	  18325	      0
    526	  18359	      0
    527	  18638	      0
    528	  18367	      0
    529	  18580	      0
    530	  18590	      0
    531	  18711	      0
    532	  18584	      0
    533	  18514	      0
    534	  18676	      0
    535	  18785	      0
    536	  18621	      0
    537	  18825	      0
    538	  18864	      0
    539	  18460	      0
    540	  18738	      0
    541	  18663	      0
    542	  18687	      0
    543	  18604	      0
    544	  18579	      0
    545	  18902	      0
    546	  18623	      0
    547	  18509	      0
    548	  18540	      0
    549	  18787	      0
    550	  18631	      0
    551	  18721	      0
    552	  18749	      0
    553	  18542	      0
    554	  18634	      0
    555	  18490	      0
    556	  18653	      0
    557	  18478	      0
