I [a.u.]
19,285
19,285
20,875
22,210
23,150
24,055
25,300
26,705
27,875
28,685
30,395
31,705
33,075
34,285
35,420
37,640
38,625
40,905
42,550
44,420
46,175
47,620
49,075
50,950
52,455
54,210
56,160
58,060
59,865
61,325
63,235
64,870
66,305
67,935
70,170
71,870
73,585
75,135
76,510
78,130
79,810
80,740
82,380
83,475
84,715
86,075
86,855
88,305
89,680
90,450
91,190
92,135
92,775
93,545
94,375
94,700
95,115
95,810
96,055
96,380
96,685
97,225
97,440
97,660
98,450
98,285
99,190
99,285
99,380
99,450
100,905
101,420
102,120
102,285
102,960
103,415
104,430
105,095
105,600
106,285
107,135
107,775
108,960
109,740
110,150
111,285
112,245
112,875
114,570
115,285
116,045
117,665
118,850
120,550
122,135
123,475
125,020
126,285
128,285
129,815
131,135
133,285
134,800
137,665
139,190
141,380
143,640
145,265
147,060
149,250
150,850
153,420
155,395
157,125
158,360
158,020
159,960
161,305
162,610
163,570
165,795
166,960
167,865
172,325
176,135
177,095
178,040
178,875
179,285
180,115
181,545
182,820
183,920
184,685
184,910
185,380
185,455
185,295
184,920
185,195
184,285
184,375
183,375
182,570
182,095
181,910
179,925
178,570
178,085
176,850
176,025
174,550
173,775
172,285
170,945
170,525
169,610
167,245
166,475
165,455
163,935
162,885
162,115
160,495
160,055
158,695
158,210
156,810
156,025
154,770
154,285
153,810
152,780
151,970
151,400
150,800
149,780
149,715
149,885
148,200
147,380
147,380
147,285
147,515
148,565
148,355
148,660
149,060
149,800
150,135
150,245
150,625
151,190
151,115
152,270
152,905
153,510
154,435
155,305
156,355
157,265
158,380
159,000
160,325
161,150
161,925
162,890
163,705
165,360
166,355
167,485
168,735
169,890
170,870
172,035
173,095
174,095
175,055
175,890
176,780
177,610
178,735
179,020
179,380
179,780
180,430
181,045
182,040
182,190
182,025
182,095
182,285
182,435
182,285
182,135
181,535
181,240
180,300
180,110
179,285
178,960
178,455
177,450
176,830
176,285
174,600
173,285
172,120
170,830
169,565
168,550
166,285
165,735
163,380
162,795
161,435
160,285
158,665
156,870
154,685
153,395
151,380
150,095
148,645
147,075
146,120
144,735
143,360
141,715
140,360
139,620
137,905
136,945
135,135
134,190
132,740
131,665
131,055
130,095
128,545
127,830
126,625
125,790
124,810
124,665
123,285
122,835
122,190
121,685
120,620
119,905
119,455
119,420
118,610
118,450
118,310
118,000
118,095
117,475
117,695
117,665
117,475
117,190
116,835
117,095
116,275
117,150
117,090
117,475
117,545
117,715
117,965
117,960
118,285
118,380
118,600
118,875
119,170
119,150
120,055
120,000
120,740
121,190
121,380
121,720
122,245
122,380
123,040
123,360
123,545
123,455
124,445
124,960
124,970
125,285
125,530
125,925
125,770
126,770
126,795
127,190
127,340
127,405
127,685
127,475
127,230
126,735
127,475
127,065
126,845
126,735
126,190
126,410
125,360
125,475
125,300
124,780
124,325
123,605
123,285
122,810
121,285
119,340
118,775
118,360
117,380
115,855
115,570
115,285
115,040
114,890
114,000
112,810
112,135
111,270
110,150
109,170
108,420
107,190
106,315
105,305
104,185
102,740
101,970
101,340
99,475
99,020
98,095
96,620
96,285
94,945
94,285
93,285
92,095
91,025
90,625
88,980
88,435
87,380
86,360
85,700
85,285
83,705
83,285
82,550
82,190
81,550
80,780
80,285
80,150
79,255
78,740
78,320
77,855
77,285
77,135
76,475
76,570
75,610
75,285
74,925
